nsp,ncomm,nmeas,model,likelihood,npars,pval_rnd,pval_scramble,corr,alpha,nrnd,nscr,label
20,59,451,2,-1851.059689725148,59,0.037,0.033,0.8755446986328388,1.098089626206442,1000,1000,Bio II 8/11
20,59,451,3,-1845.1209973397038,59,0.002,0.005,0.8798880043153148,1.1468600515346317,1000,1000,Bio II 8/11
20,59,451,4,-1822.6083123783724,78,0,0,0.8875115691013321,1.3425556615035859,1000,1000,Bio II 8/11
16,40,322,1,-1265.6356608537694,32,0.253,0.261,0.8139418918353046,0.9411902068606374,1000,1000,Bio II 7/12
16,40,322,2,-1257.351577607899,47,0.141,0.118,0.8209764693314389,1.0295106234696905,1000,1000,Bio II 7/12
16,40,322,3,-1256.9014258398308,47,0.193,0.216,0.8218278325391523,1.0340569463795017,1000,1000,Bio II 7/12
16,40,322,4,-1239.6986752864238,62,0.009,0.009,0.8426192154618802,1.233006265589291,1000,1000,Bio II 7/12
16,39,271,1,-1100.7306789307497,32,0,0.001,0.8321791669359803,1.1835278359796564,1000,1000,Bio II 8/14
16,39,271,2,-1089.3241196304427,47,0.027,0.019,0.8443353294858121,1.3501689671629669,1000,1000,Bio II 8/14
16,39,271,3,-1093.7472219225613,47,0.006,0.003,0.8377770021499945,1.2841657755276827,1000,1000,Bio II 8/14
16,39,271,4,-1077.4246747947018,62,0.012,0.013,0.855613728095487,1.5395646349221186,1000,1000,Bio II 8/14
18,43,337,1,-1344.642503847719,36,0.005,0.012,0.8301367666284647,0.855017410743208,1000,1000,Bio II 8/15
18,43,337,2,-1335.3331701817801,53,0.002,0.004,0.8352107625455518,0.9455732738475101,1000,1000,Bio II 8/15
18,43,337,3,-1333.3900868197277,53,0.027,0.028,0.8401433851593452,0.9647227417693036,1000,1000,Bio II 8/15
18,43,337,4,-1315.1212959534407,70,0.004,0.009,0.8542199197031419,1.1583578530865624,1000,1000,Bio II 8/15
19,53,409,1,-1599.7408896876952,38,0.001,0.001,0.8412098154462405,1.0001308235161128,1000,1000,Bio II 7/17
19,53,409,2,-1587.8809623282393,56,0.011,0.014,0.8504260547654598,1.103348924251337,1000,1000,Bio II 7/17
19,53,409,3,-1580.5707314059125,56,0.002,0,0.8510514047775061,1.1693903227783407,1000,1000,Bio II 7/17
19,53,409,4,-1562.7371349288687,74,0.001,0,0.8629537797783119,1.3420134582337724,1000,1000,Bio II 7/17
8,27,87,1,-348.3720676913281,16,0.027,0.029,0.8776427492644648,2.232208490957151,1000,1000,Cadotte
8,27,87,2,-344.63728666892104,23,0.131,0.132,0.8899850395112237,2.495668315687299,1000,1000,Cadotte
8,27,87,3,-345.62814888316177,23,0.512,0.507,0.88126657748087,2.4231978044790816,1000,1000,Cadotte
8,27,87,4,-342.5452340066708,30,0.696,0.711,0.8913888617687123,2.6522500547257706,1000,1000,Cadotte
