Achillea millefolium,Andropogon gerardi,Bouteloua gracilis,Koeleria cristata,Liatris aspera,Lupinus perennis,Petalostemum villosum,Poa pratensis,Schizachyrium scoparium,Sporobolus cryptandrus,Amorpha canescens,Lespedeza capitata,Panicum virgatum,Polygonum tenue,Erigeron canadensis,Monarda fistulosa,Polygonum convolvulus,Silene antirrhina,Sorghastrum nutans,Chenopodium leptophyllum,Crepis tectorum,Elymus canadensis,Taraxicum officinalis,Solidago nemoralis,Asclepias tuberosa,Aristida basiramea,Hedeoma hispida,Leptoloma cognatum,Physalis virginiana,Agropyron repens,Lepidium densiflorum,Ambrosia artemisiifolia elatior,Bouteloua curtipendula,Agrostis scabra,Euphorbia glyptosperma,Rumex acetosella,Panicum oligosanthes,Eragrostis spectabilis,Linaria vulgaris,Mollugo verticillata,Cyperus filiculmis,Cyperus schweinitzii
0,2.1,0,0.45,0,0,72.233,2.367,71.233,0,0,0,0,0,0,0,0,0,0.567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,110.117,0,0,2.533,100.65,22.917,1.867,27.25,0,45.1,20.6,0,0,0,6.917,0.917,0,34.55,0,0,0,0,1.383,0.1,0,0,0,0,0,0,0,0,0,0,2.583,0,0,0,0,0,0.35
0,1.417,0,0,0,2.033,66.783,0,73.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038,0,0,0,0,0,0
0,0,2.317,24.75,34.45,2.417,4.6499999999999995,0,0.267,0,0,0,1,0,0,29.667,0.05,0,0,0,0,0,0,33.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0.167,0
0,0,0.45,0,0,0,0,0,0.967,0,0,0,93.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.317,0,0,0,0,0,0,0,0.65,0
1.433,0,0,0,0,100.467,14.899999999999999,36.967,84.217,0,0,0,5.733,0,0,0.067,0.05,0,37.517,0,0,0,0,77.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.9,0,129.3,0.767,18.733,10.2,2.217,0,0,0,1.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65,0,0,0,0,0,0,0.038,0
33.217,99.267,0,0,0,171.667,0,38.367,57.267,0,42.783,18.783,21.85,0,0,0,0.102,0,103.15,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0.097,0,0,0,0,0
24.683,123.967,0.117,0,0,209.4,40.483,15.7,81.033,0.717,5.117,4.65,5.017,0,0,0,1.633,0.25,50.883,0,0,0,0,212.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0
0,41.567,0,3.267,4.417,170.683,1.7,0.817,59.467,0.633,68.917,0,10.833,0,0,0,0.02,0,29.817,0,0,0,0.017,28.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.433
